,Unnamed: 0,rev_page,page_title,date,same_day_revs,prev_day_revs,week_before_revs,month_before_revs,year_before_revs,week_after_revs,day_after_revs,day_after_2_revs,category,category_score,day,around,before,boost,same_day_views,prev_day_views,week_before_views,month_before_views,year_before_views,day_after_views,is_event,link,title,is_first_event,category_score_upd,category_upd
14792,14792,12059180,Elisabeth_Niggemeyer,20220601,2.0,2.0,9.0,85.0,107.0,5.0,3.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9399233460426331,Culture.Biography.Biography*
14793,14793,12059457,Hauptseite/Artikel_des_Tages/Chronologie_2022,20220601,1.0,1.0,6.0,31.0,164.0,9.0,1.0,1.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14794,14794,12059476,Dateiüberprüfung/Dateiüberprüfung_(2022-01-01),20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14795,14795,12059713,Jana_Wosnitza,20220601,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9911626577377319,Culture.Biography.Biography*
14796,14796,12059938,World_Athletics_Label_Road_Races_2022,20220601,0.0,1.0,2.0,8.0,50.0,3.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9099169969558716,Culture.Sports
14797,14797,12060241,Liste_der_Wiener_Parks_und_Gartenanlagen/Archiv/1,20220601,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14798,14798,12060795,Hauptseite/Jahrestage/Archiv/2022,20220601,1.0,1.0,6.0,22.0,131.0,8.0,1.0,1.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14799,14799,12060833,Dateiüberprüfung/Dateiüberprüfung_(2022-01-02),20220601,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14800,14800,12061174,Vanderson,20220601,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,Culture.Linguistics,1.0000100135803225,20220601.0,13.0,6.0,2.1666666666666665,6.0,8.0,16.0,59.0,795.0,9.0,0,-1,-1,,0.9989112615585327,Culture.Sports
14801,14801,12062096,LII._Armeekorps_(Wehrmacht),20220601,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9955416321754456,History_and_Society.Military_and_warfare
14802,14802,12062097,Musikjahr_2022,20220601,0.0,1.0,5.0,14.0,82.0,9.0,1.0,5.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.8933194279670715,Culture.Media.Media*
14803,14803,12062442,Fraxinus2/Ima_made_22,20220601,3.0,2.0,10.0,50.0,194.0,12.0,1.0,2.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14804,14804,12062801,Bayerisches_Zentrum_für_Krebsforschung,20220601,0.0,0.0,0.0,0.0,19.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.6859594583511353,Geography.Regions.Europe.Europe*
14805,14805,12063035,ATP_Challenger_Tour_2022,20220601,2.0,0.0,6.0,35.0,197.0,17.0,2.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9855064153671265,Culture.Sports
14806,14806,12063167,Navigationsleiste_Turniere_der_ATP_Challenger_Tour_2022,20220601,0.0,0.0,2.0,6.0,40.0,3.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14807,14807,12065442,Dateiüberprüfung/Dateiüberprüfung_(2022-01-05),20220601,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14808,14808,12066229,Uwe_Gille,20220601,0.0,0.0,6.0,27.0,75.0,1.0,1.0,0.0,-1,-1.0,,,,,,,,,,,0,-1,-1,,-1.0,-1
14809,14809,12066501,Stadtverkehr_Überlingen,20220601,0.0,0.0,0.0,7.0,21.0,2.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.59267657995224,History_and_Society.Transportation
14810,14810,12068067,Dateiüberprüfung/Dateiüberprüfung_(2022-01-06),20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14811,14811,12069873,Dateiüberprüfung/Dateiüberprüfung_(2022-01-07),20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14812,14812,12070001,"Rezeptionen,_Positionen_und_Reaktionen_zur_uigurischen_Frage",20220601,0.0,5.0,21.0,23.0,428.0,2.0,1.0,1.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.6992644667625427,History_and_Society.Politics_and_government
14813,14813,12070670,Microsoft_Office_2021,20220601,0.0,0.0,0.0,0.0,54.0,2.0,2.0,0.0,STEM.STEM*,0.91965252161026,20220601.0,3502.0,3055.0,1.1463175122749591,706.0,1453.0,5249.0,21044.0,177267.0,1445.0,0,-1,-1,,0.9958112239837646,Culture.Media.Software
14814,14814,12071034,TaxonBot/Test,20220601,10.0,6.0,39.0,61.0,719.0,56.0,6.0,7.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14815,14815,12072249,Reiner_der_Deutsche,20220601,0.0,0.0,0.0,3.0,36.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.7248802781105042,STEM.Libraries_&_Information
14816,14816,12072266,Pamekasan_(Regierungsbezirk),20220601,1.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9988405108451843,Geography.Regions.Asia.Southeast_Asia
14817,14817,12072305,Sampang_(Regierungsbezirk),20220601,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9996640086174011,Geography.Regions.Asia.Southeast_Asia
14818,14818,12072697,Dateiüberprüfung/Dateiüberprüfung_(2022-01-08),20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14819,14819,12073127,Bangkalan_(Regierungsbezirk),20220601,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9995221495628357,Geography.Regions.Asia.Southeast_Asia
14820,14820,12073215,Bojonegoro_(Regierungsbezirk),20220601,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,1.0000100135803223,Geography.Regions.Asia.Southeast_Asia
14821,14821,12074332,Dateiüberprüfung/Dateiüberprüfung_(2022-01-09),20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14822,14822,12074477,Emeritus/Archiv/2022,20220601,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14823,14823,12075230,Lutheraner/Archiv/2022,20220601,2.0,1.0,3.0,18.0,106.0,12.0,1.0,1.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14824,14824,12075983,Dateiüberprüfung/Dateiüberprüfung_(2022-01-10),20220601,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14825,14825,12076531,Mälzer_und_Henssler_liefern_ab!,20220601,1.0,0.0,0.0,15.0,56.0,4.0,3.0,0.0,-1,-1.0,,,,,,,,,,,0,-1,-1,,0.880807101726532,Culture.Food_and_drink
14826,14826,12076583,Liste_der_Nummer-eins-Hits_in_Griechenland_(2022),20220601,0.0,0.0,1.0,3.0,19.0,2.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9732507467269897,Culture.Media.Media*
14827,14827,12076593,Liste_der_Nummer-eins-Hits_in_Indien_(2022),20220601,0.0,0.0,1.0,3.0,21.0,2.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.7310686111450195,Culture.Media.Media*
14828,14828,12076792,HMS_Achilles_(1863),20220601,0.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,History_and_Society.Transportation,0.9951046109199524,20220601.0,161.0,173.0,0.930635838150289,41.0,79.0,285.0,804.0,9240.0,61.0,0,-1,-1,,0.9995221495628357,History_and_Society.Transportation
14829,14829,12076814,Ngawi_(Regierungsbezirk),20220601,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9985549449920654,Geography.Regions.Asia.Southeast_Asia
14830,14830,12076903,Magetan_(Regierungsbezirk),20220601,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9988764524459839,Geography.Regions.Asia.Southeast_Asia
14831,14831,12076977,Sumenep_(Regierungsbezirk),20220601,0.0,1.0,1.0,1.0,4.0,3.0,2.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9993433356285095,Geography.Regions.Asia.Southeast_Asia
14832,14832,12077113,Äthiopischer_Menschenrechtsrat,20220601,2.0,0.0,0.0,0.0,40.0,17.0,15.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9886782765388489,Geography.Regions.Africa.Eastern_Africa
14833,14833,12077981,Liste_der_Nummer-eins-Hits_in_Singapur_(2022),20220601,0.0,0.0,0.0,2.0,18.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.8740872144699097,Culture.Media.Music
14834,14834,12078061,Liste_der_Nummer-eins-Hits_in_Spanien_(2022),20220601,0.0,0.0,0.0,2.0,19.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9659096002578735,Culture.Media.Music
14835,14835,12078398,Circuito_Dove_Men+Care_Blumenau_2022,20220601,0.0,0.0,0.0,2.0,31.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14836,14836,12078410,ATP_Challenger_Blumenau-2,20220601,0.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,1.0000100135803223,Culture.Sports
14837,14837,12078603,Aka/Fehlerlisten/Wikilink_in_Überschrift/001,20220601,0.0,4.0,7.0,18.0,34.0,3.0,1.0,1.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14838,14838,12078831,Platte/2022,20220601,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14839,14839,12078834,Dateiüberprüfung/Dateiüberprüfung_(2022-01-12),20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14840,14840,12078871,Russell_Dickerson,20220601,0.0,0.0,0.0,2.0,16.0,3.0,1.0,0.0,Culture.Media.Media*,1.0000100135803225,20220601.0,1059.0,1303.0,0.8127398311588642,179.0,348.0,1786.0,7388.0,58376.0,388.0,0,-1,-1,,1.0000100135803223,Culture.Media.Media*
14841,14841,12078880,PerfektesChaos/Archiv8,20220601,0.0,0.0,1.0,3.0,18.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14842,14842,12078883,Hadi/Archiv/2022,20220601,0.0,0.0,1.0,4.0,18.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
14843,14843,12079427,Hassan_ibn_Thabit,20220601,0.0,0.0,0.0,1.0,6.0,4.0,4.0,0.0,Culture.Biography.Biography*,0.9381340146064758,20220601.0,390.0,480.0,0.8125,66.0,124.0,726.0,2820.0,37455.0,140.0,0,-1,-1,,0.8774868249893188,Culture.Biography.Biography*
